date,year,type,country,state,location,activity,sex,age,fatal_y/n,time,sex_clean,activity_clean,hour,time_period
24th May,2026,Unprovoked,AUSTRALIA,Queensland,Kennedy Shoal,Spearfishing,M,39.0,Y,11:00:00rs,Male,Spearfishing,11.0,Morning
17th May,2026,Questionable,UNITED STATES,Maryland,Assateague State Park,Surfing,M,,N,?,Male,Surfing,,
16th May,2026,Unprovoked,AUSTRALIA,Western Australia,Horseshoe Reef Rottnest Island,Skindiving,M,38.0,Y,10:00:00rs,Male,Diving,10.0,Morning
14th April,2026,Unprovoked,MALDIVES,Gaafu Alif Atoll,Kooddoo,Swimming,M,,N,?,Male,Swimming,,
3rd April,2026,Unprovoked,AUSTRALIA,South Australia,Middleton Beach Fleurieu Peninsula Adelaide,Surfing,M,16.0,N,?,Male,Surfing,,
26th March,2026,Unprovoked,BAHAMAS,Andros Island,Fresh Creek,Swimming,F,22.0,N,17:30:00rs,Female,Swimming,17.0,Evening
25th March,2026,Unprovoked,AUSTRALIA,South Australia,Cape Jaffa Limestone Coast,Diving,M,,N,?,Male,Diving,,
22nd-23rd March,2026,Unprovoked,AUSTRALIA,New South Wales,Little Avalon Beach,Surfing,M,30.0,N,?,Male,Surfing,,
18th March,2026,Unprovoked,UNITED STATES,California,Big River Beach Mendocino County,Surfing,M,39.0,N,17:15:00rs,Male,Surfing,17.0,Evening
14th March,2026,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Swimming,F,,N,10:15:00rs,Female,Swimming,10.0,Morning
10th March,2026,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Wing Foiling ,M,,N,08:00:00rs,Male,Surfing,8.0,Morning
5th March,2026,Unprovoked,AUSTRALIA,Queensland,Lady Elliott Island,Snorkeling,M ,,N,08:15:00rs,Male,Snorkeling,8.0,Morning
22nd February,2026,Unprovoked,NEW CALEDONIA,Noumea,Anse Vata Near Point Magnin,Wing Foiling ,M,55.0,Y,?,Male,Surfing,,
6th February,2026,Unprovoked,CAYMAN ISLANDS,Little Cayman Island,Caribbean Sea,Diving,M,,N,?,Male,Diving,,
29th January,2026,Unprovoked,BRAZIL,Recife,Del Chifre Beach In Olinda,Swimming,M,13.0,Y,?,Male,Swimming,,
29th January,2026,Unprovoked,AUSTRALIA,New South Wales,Angels Beach East Ballina,Surfing,M,,N,11:00:00rs,Male,Surfing,11.0,Morning
24th January,2026,Unprovoked,AUSTRALIA,Tasmania,Cooee Beach West Of Burnie,Swimming,F,,N,18:15:00rs,Female,Swimming,18.0,Evening
20th January,2026,Unprovoked,AUSTRALIA,New South Wales,Point Plomber North Of Port Macquarie,Surfing,M,39.0,N,08:30:00rs,Male,Surfing,8.0,Morning
19th January,2026,Unprovoked,AUSTRALIA,New South Wales,Dee Why,Surfing,M,11.0,N,11:45:00rs,Male,Surfing,11.0,Morning
19th January,2026,Unprovoked,AUSTRALIA,New South Wales,North Steyne,Surfing,M,27.0,N,18:20:00rs,Male,Surfing,18.0,Evening
18th January,2026,Unprovoked,AUSTRALIA,New South Wales,Nielsen Park Vaucluse Sydney Harbour,Jumping off rocks,M,12.0,Y,16:20:00rs,Male,Other,16.0,Afternoon
13th January,2026,Unprovoked,UNITED STATES,California,Mendocino County,Surfing,M,26.0,N,08:30:00rs,Male,Surfing,8.0,Morning
10th January,2026,Unprovoked,AUSTRALIA,New South Wales,Avalon Beach,Surfing,M,,N,05:40:00rs,Male,Surfing,5.0,Morning
8th January,2026,Unprovoked,US VIRGIN ISLANDS,Fredricksted Island St Croix,Dorsch Beach,Snorkeling,F,56.0,Y,16:28:00rs,Female,Snorkeling,16.0,Afternoon
5th January,2026,Unprovoked,MOZAMBIQUE,Inhambe Province,Vilanculous District,Diving,M,,Y,?,Male,Diving,,
3rd January ,2026,Provoked,NEW CALEDONIA,Kélé,Between Bourail And Moindou,Scuba Diving,M,,N,?,Male,Diving,,
